,is_smsing,safe_info,domain_old_info,is_ip,url_length,number_of_subdomains,is_https,special_characters,tlds_blackist,make_redirection,is_suspended,count_dictionary,creation_year,creation_month,creation_day,updated_year,updated_month,updated_day,days_difference,Predicted_is_smsing
0,1,0,0,1,48,2,0,1,0,0,,5,,,,,,,,1
1,1,0,0,1,22,2,0,0,0,0,,6,,,,,,,,0
2,1,0,0,1,22,2,0,0,0,0,,3,,,,,,,,0
3,1,0,0,0,50,0,0,1,1,0,0.0,5,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
4,1,0,0,1,34,2,0,0,0,1,,5,,,,,,,,0
5,1,0,0,0,20,0,0,0,0,0,1.0,4,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
6,1,0,0,0,36,0,0,0,1,0,0.0,8,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
7,1,0,0,0,25,0,0,0,1,0,0.0,4,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
8,1,0,0,0,25,0,0,0,1,0,0.0,9,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
9,1,0,0,1,48,2,0,1,0,0,,4,,,,,,,,1
10,1,0,0,0,36,0,0,0,1,0,0.0,6,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
11,1,0,0,1,34,2,0,0,0,1,,7,,,,,,,,1
12,1,0,0,1,22,2,0,0,0,0,,5,,,,,,,,0
13,1,0,0,0,50,0,0,1,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
14,1,0,0,0,20,0,0,0,0,0,1.0,5,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,0
15,1,0,0,0,50,0,0,1,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
16,1,0,0,0,20,0,0,0,0,0,1.0,5,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,0
17,1,0,0,1,22,2,0,0,0,0,,7,,,,,,,,0
18,1,0,0,1,48,2,0,1,0,0,,2,,,,,,,,1
19,1,0,0,1,34,2,0,0,0,1,,4,,,,,,,,1
20,1,0,0,0,25,0,0,0,1,0,0.0,6,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
21,1,0,0,1,22,2,0,0,0,0,,6,,,,,,,,0
22,1,0,0,0,50,0,0,1,1,0,0.0,6,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
23,1,0,0,1,48,2,0,1,0,0,,6,,,,,,,,1
24,1,0,0,0,50,0,0,1,1,0,0.0,6,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
25,1,0,0,0,50,0,0,1,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
26,1,0,0,0,25,0,0,0,1,0,0.0,4,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
27,1,0,0,1,48,2,0,1,0,0,,7,,,,,,,,1
28,1,0,0,0,20,0,0,0,0,0,1.0,7,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
29,1,0,0,0,50,0,0,1,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
30,1,0,0,1,48,2,0,1,0,0,,8,,,,,,,,1
31,1,0,0,0,20,0,0,0,0,0,1.0,6,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
32,1,0,0,0,25,0,0,0,1,0,0.0,8,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
33,1,0,0,0,36,0,0,0,1,0,0.0,3,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
34,1,0,0,1,22,2,0,0,0,0,,6,,,,,,,,0
35,1,0,0,0,20,0,0,0,0,0,1.0,9,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,0
36,1,0,0,0,20,0,0,0,0,0,1.0,4,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
37,1,0,0,0,50,0,0,1,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
38,1,0,0,1,48,2,0,1,0,0,,8,,,,,,,,1
39,1,0,0,1,48,2,0,1,0,0,,3,,,,,,,,1
40,1,0,0,0,25,0,0,0,1,0,0.0,8,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
41,1,0,0,0,20,0,0,0,0,0,1.0,7,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,0
42,1,0,0,0,20,0,0,0,0,0,1.0,8,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
43,1,0,0,1,22,2,0,0,0,0,,8,,,,,,,,1
44,1,0,0,1,34,2,0,0,0,1,,5,,,,,,,,1
45,1,0,0,1,34,2,0,0,0,1,,8,,,,,,,,1
46,1,0,0,0,20,0,0,0,0,0,1.0,9,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
47,1,0,0,1,48,2,0,1,0,0,,4,,,,,,,,0
48,1,0,0,0,25,0,0,0,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
49,1,0,0,1,34,2,0,0,0,1,,6,,,,,,,,1
50,1,0,0,0,25,0,0,0,1,0,0.0,6,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
51,1,0,0,0,36,0,0,0,1,0,0.0,8,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
52,1,0,0,0,25,0,0,0,1,0,0.0,5,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
53,1,0,0,0,36,0,0,0,1,0,0.0,4,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
54,1,0,0,0,25,0,0,0,1,0,0.0,4,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
55,1,0,0,0,25,0,0,0,1,0,0.0,5,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
56,1,0,0,0,25,0,0,0,1,0,0.0,7,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
57,1,0,0,0,36,0,0,0,1,0,0.0,9,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
58,1,0,0,1,48,2,0,1,0,0,,5,,,,,,,,0
59,1,0,0,0,25,0,0,0,1,0,0.0,8,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
60,1,0,0,1,34,2,0,0,0,1,,5,,,,,,,,1
61,1,0,0,1,22,2,0,0,0,0,,5,,,,,,,,0
62,1,0,0,0,50,0,0,1,1,0,0.0,5,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
63,1,0,0,0,20,0,0,0,0,0,1.0,7,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
64,1,0,0,0,36,0,0,0,1,0,0.0,4,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
65,1,0,0,1,22,2,0,0,0,0,,3,,,,,,,,1
66,1,0,0,0,36,0,0,0,1,0,0.0,6,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
67,1,0,0,1,34,2,0,0,0,1,,6,,,,,,,,0
68,1,0,0,1,48,2,0,1,0,0,,6,,,,,,,,0
69,1,0,0,0,20,0,0,0,0,0,1.0,7,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
70,1,0,0,1,34,2,0,0,0,1,,6,,,,,,,,1
71,1,0,0,0,50,0,0,1,1,0,0.0,3,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,1
72,1,0,0,1,34,2,0,0,0,1,,9,,,,,,,,1
73,1,0,0,1,34,2,0,0,0,1,,8,,,,,,,,0
74,1,0,0,1,48,2,0,1,0,0,,5,,,,,,,,1
75,1,0,0,1,22,2,0,0,0,0,,8,,,,,,,,1
76,1,0,0,1,48,2,0,1,0,0,,7,,,,,,,,0
77,1,0,0,0,25,0,0,0,1,0,0.0,8,2023.0,5.0,30.0,2023.0,6.0,4.0,5.0,0
78,1,0,0,0,20,0,0,0,0,0,1.0,7,2023.0,9.0,12.0,2023.0,10.0,7.0,25.0,1
79,1,0,0,1,22,2,0,0,0,0,,8,,,,,,,,0
